CODIGO,DESCRIPCIÓN,CANTIDAD,PRECIO,PRECIO FINAL
34F-8981,AISLADOR ENSAMBLADO,1,$25.00,$430.00
13N-0012,AQUASTATO,2,$277.00,"$4,730.00"
13N-2210,BOQUILLAS NIVEL NORMAL GAS LP CILINDRICO,4,$3.00,$60.00
34F-9467,"CABLE IGNICION 36""",2,$166.00,"$2,840.00"
13N-1095,CONTROL DC1010,2,$456.00,"$7,780.00"
83E-1585,MODULO FENWAL,5,$322.00,"$5,500.00"
83E-1455,MODULO HONEYWELL,2,$608.00,"$10,370.00"
13N-2846A,CONTROL AUTONICS ALBERCA,4,$199.00,"$3,400.00"
13N-2846S,CONTROL AUTONICS SERVICIOS,3,$199.00,"$3,400.00"
43N-0950,"EMPAQUE 3/8 DIAM 3""",0,$6.00,$110.00
43N-2036,"EMPAQUE CONICO 2""",11,$5.00,$90.00
43N-2063,"EMPAQUE P/CAJA 2""",6,$4.00,$70.00
13N-0194,"EMPAQUE HULE BRIDA 2""",4,$4.00,$70.00
43N-0951,"EMPAQUE BRIDA 4"" 1400-2800",4,$12.00,$210.00
13N-2545,EMPAQUE XE,45,$2.00,$40.00
13N-0170,EMPAQUE S-234 C/DIVICIÓN,6,$11.00,$190.00
13N-0171,EMPAQUE S-234 S/DIVICIÓN,2,$11.00,$190.00
43N-0952,EMPAQUE PARA CABEZAL 12 TUBOS,6,$28.00,$480.00
13E-0011,ORING TERMOPAR,3,$1.00,$20.00
83E-1453,ENSAMBLE PILOTO,3,$203.00,"$3,470.00"
83E-1586,HOT SURFACE,5,$118.00,"$2,020.00"
13E-1033,PILOTO Y ARNES LP,5,$243.00,"$4,150.00"
13E-1032,PILOTO Y ARNES NATURAL,0,$243.00,"$4,150.00"
13N-2937,INTERRUPTOR DE FLAMA,4,$13.00,$230.00
13N-0411,INTERRUPTOR DE ALTA AFJ,0,$70.00,"$1,200.00"
13N-2642,INTERRUPTOR DE PRESIÓN,2,$26.00,$450.00
13N-0239,INTERRUPTOR DE FLUJO,2,$324.00,"$5,530.00"
35F-1822,INTERRUPTOR DE PRESIÓN DE GAS 700-1200,0,$265.00,"$4,520.00"
35F-1823,INTERRUPTOR DE PRESIÓN DE GAS 1400-2800,0,$288.00,"$4,920.00"
13N-2926,INTERRUPTOR DE PRESIÓN DE AIRE,2,$70.00,"$1,200.00"
83E-1587,SENSOR DE FLAMA,5,$85.00,"$1,450.00"
13N-0463,TERMOMETRO,0,$112.00,"$1,910.00"
13N-1096,TERMOPAR,0,$37.00,$640.00
13E-2181,TERMOSTATO JUMO,1,$279.00,"$4,760.00"
13E-2186,TERMOSTATO TK24 57°,3,$4.00,$70.00
13E-2187,TERMOSTATO TK24 65°,3,$4.00,$70.00
13N-2731,TRANSFORMADOR CHICO,2,$110.00,"$1,880.00"
13N-2733,TRANSFORMADOR GRANDE,2,$170.00,"$2,900.00"
13N-1451,TABLILLA 3 LEDS,4,$36.00,$620.00
V11-0074,TABLILLA 4 LEDS,2,$39.00,$670.00
13N-1361,TABLILLA 5 LEDS,1,$40.00,$690.00
,TABLILLA Universal P valvulas 1X1,2,,
,TABLILLA Universal,2,,$0.00
83E-1449,QUEMADOR CILINDRICO,5,$34.00,$580.00
39F-6031,QUEMADOR MINI C/BRAKET,0,$130.00,"$2,220.00"
39F-6029,QUEMADOR MINI S/BRAQUET,0,$130.00,"$2,220.00"
13N-0719,VALVULA 1X1,1,$450.00,"$7,680.00"
13E-1030,VALVUlA SMART 3/4 LP,0,$352.00,"$6,010.00"
13E-2201,VALVULA SMART 3/4 NATURAL,1,$352.00,"$6,010.00"
13N-2037,VALVULA SOLENOIDE 1 1/4,1,$499.00,"$8,510.00"
43N-1706,VALVULA SOLENOIDE 1/4,1,$353.00,"$6,020.00"
13N-2609,VALVALA SEGURIDAD 5KG,3,$30.00,$520.00
13N-2610,VALVULA SEGURIDAD 8 KG,2,$32.00,$550.00
43N-2551,CARTUCHO HILADO,7,,$0.00
43N-2562,CARTUCHO DE CARBON,14,,$0.00
,CARTUCHO CARBON 20X2.5,12,,$0.00
83E-1464,FOCO 4 SS NUEVO,3,,$0.00
83E-0370,FOCO 4SS VIEJO,2,,$0.00
83E-1463,TUBO DE CUARZO,2,,$0.00
